Review,date,Location,CompoundScore,Sentiment
vétust mérite un sacré rafraîchiss emplac idéal,2019-08-14,Toulon,0.0,0
lunica cosa accettabil è stata la cortesia ricevuta al check tutto il resto da cancellar camera vecchia male insonorizzata mobili vecchi e maltenuti illuminazion fatta malissimo e nonostant tutto abbiamo faticato farcela assegnar la prima camera che abbiamo ricevuto è al piano della strada con parcheggi metri questa camera è maleodorant di con mobili vecchi e scrostati guardat attentament le condizioni perché compaiono giorno per servizi che dicono di offrir come ad esempio la navetta per parchi non è così le navett non servono parchi degli univers studio e non servono laeroporto quindi lunico modo per spostarsi è il taxi peraltro abbastanza costoso una mattina si sono inventati un aumento di tass e mancia al persona perché ospitavano alcuni osceni personaggi disney eravamo stati questo hotel anni fa ora non ci mai più,2019-08-14,Lake Buena Vista - Orlando,0.0,0
made us pay gym facil didnt use option fee came see new york work,2019-08-13,Australia,-0.1027,0
friendli staff clean properti secur park easi freeway access,2019-08-13,Las Vegas,0.4404,1
todo excelent muy buena instalacion excelent servico,2019-08-12,México,0.0,0
like everyth hotel person good servic,2019-08-12,Miami,0.6597,1
like everyth except smoke pool ruin outdoor relax smell bad pool,2019-08-12,"San Antonio,TX",-0.4404,0
love alot pool term choic restaur grand hotel limit good qualiti alright high price paid noth extravag,2019-08-12,Bayonne nj,0.9022,1
everyth great walk lobbi smell nice,2019-08-12,Corinth,0.7845,1
complementari breakfast close everyth disney spring remark,2019-08-12,New Jersey,0.0,0
great locat two pool nice staff friendli,2019-08-12,Venice,0.7845,1
place reason food dessert breakfast lunch supper notic sever parent wait pizza deliveri charg park peopl stuck first night ate beef jerki nut gift shop stinki fruit pool area tri blow bush stinki need safe open took long time get room clean except mold shower rain lot insid activ yoga zumba raini season definit wont back,2019-08-11,Chicago,0.7579,1
super conveni locat right next penn station,2019-08-11,"High Springs, FL",0.5994,1
reason price hotel tini room ok consid locat minut penn station walk distanc broadway theater fit facil better expect hotel staff friendli lobbi staff especi,2019-08-11,Tokyo,0.765,1
entir staff friendli help locat perfect,2019-08-11,Mooresville NC,0.7506,1
didnt like charg park resort fee,2019-08-11,Apollo Beach,-0.2755,0
front desk staff manag super friendli accommod room wasnt readi yet pm checkin time upgrad king suit extra charg hotel within walk distanc disneylanddca room nice clean wellkept newer furnish linen stain carpet ac excel etc would gladli stay,2019-08-11,"Fresno, CA",0.9081,1
love swim pool good locat seaworld entertain,2019-08-11,Pittsburgh,0.8555,1
pleasant hotel littl disappoint go restaur order take pool side dine bad thing expect order food go back min later good hotel pool restaur photo expect littl bit servic also charg incident charg expect deduct wait day return account cool,2019-08-10,Santa Cruz.,0.3182,1
super todo cerca buen servicio buena comida recomendado,2019-08-10,Puerto Rico,0.5994,1
need staff chk wait famili stood car underwhelm took entir long,2019-08-09,New York,0.0,0
st knew right away wouldnt stay properti right check go self park find werent given code gate go valet get code go get room mind self park room complet opposit side hotel properti next realiz charg park forgot mention handicap tag call front desk explain get told would get refund card put file sound great problem solv next day hadnt receiv notif refund also got notic car go get tow didnt park tag dashwhen wasnt given anyth front desk go talk front desk morn park say charg handicap end give park tag overal worth even small cost stay stay properti disney benefit suggest look disney valu resort insid hotel room gener felt damp comfort bed damp friendli staff much less accept enjoy get wrong inform threat tow vehicl mistak,2019-08-09,Panama City,0.76,1
everyth look great park bad big event confer area event plenti park,2019-08-09,Ft. Lauderdale,0.1531,0
properti amaz mani great thing kid perfect place peopl kid kid,2019-08-07,Chicago,0.8316,1
great locat food tic toc excel staff friendli accommod,2019-08-07,Shreveport,0.7964,1
fridg microwav room park per night ridicul properti congest area straight goug,2019-08-07,Oak Grove,0.2263,1
front desk nice never answer phone properti far lobbi,2019-08-07,WPB,0.4215,1
central close madison squaer garden penn station room small clean minor issuehallway lobbi floor date staff help polit,2019-08-06,Sydney Australia,0.6597,1
like locat conveni store bar price high,2019-08-06,Cape Coral,0.3612,1
room size cleanli nice staff close mani attract,2019-08-06,Toronto,0.6486,1
properti nice clean howev stay night one ever came clean room lack towelsgarbag need empti etc self park fee us per night way high option,2019-08-05,Ottawa Ont,0.7096,1
minut arriv minut leav custom treat like famili,2019-08-05,Weeki Wachee Fl.,0.6369,1
beauti resort properti pristin pool lush landscap koi pond famili friendli activ poolsid bar numer dine option,2019-08-05,St. Pete,0.0,0
didnt like troubl check also tgat key wasnt work even got new one also u got charg card ladi front desk ask card id card told wouldnt get charg everyth pay readi,2019-08-05,New York,-0.3632,0
room kept pile wallpap old soap shower pool area kept includ jacuzzi work,2019-08-05,Los Banos,0.0,0
overal properti pleas room clean pleas complain park except valet park per night park properti dont want pay valet servic like park vehicl block away properti street,2019-08-05,North Carolina,-0.0325,0
pictur expedia mislead actual properti photo lobbi accur howev locat great ground well kept actual room bit differ bathroom extrem small littl room move let alon fit two guest bathtub crackedpeel one corner stain tub floor also mirror room asid mirror bathroom wasnt conduct two guest like wont stay locat,2019-08-05,Jacksonville,0.8807,1
like locat close mani place,2019-08-05,Japan,0.3612,1
properti beauti staff great would nice restaur guest could dinner,2019-08-04,"Irvine, CA",0.7845,1
great staff locat easi access subway penn station,2019-08-04,Illinois,0.6249,1
enjoy stay new yorker locat great staff facil awesom love art deco architectur,2019-08-04,Texas,0.91,1
famili stay three night realli nice hotel close disneyland staff super friendli alway smile room nice updat quit except air condit unit thing rattl throughout night exhaust park day didnt wake us first night walk park took minuet room spaciou didnt feel cramp four peopl move around bathroom nice clean decent counter space shower big enough room move without touch side could use place put stuff though small corner shelf thing shower floor first time stay wont last,2019-08-04,California,0.9422,1
didnt get explor much due inclement weather see excel park bit obnoxi definit could better downfal notic back,2019-08-04,"Sebastian, FL",0.7096,1
properti awesom first day littl frustrat room readi earli request flight get super earli wait lobbi hour abl get us check room great pool crowd mani choos restaur great well thank good littl coffe shop downstair open earli late kid enjoy stay last night even caught firework hotel balconi,2019-08-03,Seattle,0.9712,1
great hotel room wonder pool fantast,2019-08-03,"Palm Island, Florida",0.6249,1
properti alway clean properti land lake stun happi stay thank,2019-08-01,Pennsylvania,0.6369,1
room clean hallway cleanli okay best your sleep hallway locat good easi get everywher penn station walk bummer photo make everyth look much grand realli foyer underwhelm comparison photo site room look spaciou wonder photo realiti small given new york size isnt realli shock expect photo littl blah,2019-08-01,Vancouver,0.9167,1
nice hotel could cleaner pool could maintain better kid area could redon provid better water play area children,2019-07-31,"Columbia, SC",0.8934,1
entir staff profession kind extem help came plan visit disney world magic kingdom yasir best went beyond explain detail purchad disney pass download use disney experi app activ fast pass etc without day wouldnt went smooth got disney thank much yasir definit come back locat,2019-07-31,"Savannah, GA",0.9153,1
didnt accomod need two queen bed famili,2019-07-31,Galt,0.0,0
great properti clean ground nice pool room could definit use littl modern compar other area overal nice afford place stay,2019-07-31,Brick,0.9081,1
properti great issu day shift get room hour arriv system went room abl given told write name phone number piec comput paper would call system back check bag baggag counter wait hour got tire wait went park hour return park system back call anyth yr old flew kc dirti tiredth day manag state couldnt comp room night didnt author gave us free breakfast gave us room key got room tri go someon alreadi room return front desk night manag upgrad us tower ok that fine get th floor tri key didnt work drag kid wife back lobbi time gave us room key work still didnt know bag night manag awesom reason author comp us night give us anoth free breakfast night manag great help everyth could make sure clean manag mess even brought bag room person best part hotel,2019-07-31,Wichita KS,0.9821,1
properti need renov old fashion,2019-07-31,"New York, NY",0.0,0
locat excel hotel room small clean pool good,2019-07-31,Lake Buena Vista,0.8225,1
one room readi pm didnt mind ton sinc one layout hotel bit confus first like close disney spring shuttl servic excel pool nice littl one food pool amaz,2019-07-31,"Chicago, IL",0.8074,1
great stay would stay close disneyland,2019-07-31,Seattle WA,0.6249,1
layout locat great offer yoga free monday wednesday excercis room nice pool room spaciou comfort,2019-07-30,South bend Indiana,0.9136,1
pictur appear book locat mislead dingi price motel worth money paid call upgrad room receiv room balconi overlook horribl landscap busi park lot request room clean room clean staff member rude def look resort option futur,2019-07-30,Illinois,0.5106,1
stay girlfriend birthday prior stay messag hotel addit birthday ad would pay advanc appreci none happen upon check front desk woman coars seem overwork question amen quickli avert topic bartend lobbi nice seem everyon anoth countrythat talk that fine becam notic wors arriv work visibl hung resort fine check hand map let us know everyth quiet pool map look forward howev realiti unmonitor often run kid louder adult hot tub spa despit advertis small gym open anyon sauna stay kid everywher didnt bother use featur also duck properti girl enjoy know florida wildlif come stay anywher howev realli dishearten see kid young adult violent chase away time hotel staff outdoor attend inform assist resort run stay would probabl lot better,2019-07-30,Daytona,0.7741,1
love properti alway friendli staff clean,2019-07-29,charlotte,0.7845,1
ive stay new yorker sever time alway pleas stay subway ac e train station outsid hotel well crosstown uptown bu stop staff alway friendli help trip thought book doubl room actual book singl room doubl bed definit error friend like brother didnt fanci sleep stay howev staff abl find us doubl room much delight highli recommend hotel hotel choic stay new york,2019-07-28,"Saint John, NB Canada",0.9001,1
local manhattan good near variou attract nyc,2019-07-28,"Pernambuco, Brasil",0.6597,1
peopl properti help nice especi shelton baggag desk bonni pool properti nice room bit date knew go overal would definit stay,2019-07-28,Michigan,0.8074,1
bar pool clean nice area,2019-07-28,San Francisco,0.6705,1
didnt like room one tv never work,2019-07-28,Midland TX,-0.2755,0
stay year ago though pleas accommod hotel begin look date fresh rememb kayla front desk profession engag accommod knowledgeabledeliv world class servic,2019-07-27,"Washington, DC",0.3182,1
comfort night stay hotel rent two room chang day due cold shower prior two night hot water entir hotel went lie sever hour fix instruct run water minut minutesuntil went desk final said repair begun anoth cold shower left morn return bed water drip air condition vent ac work correctli sinc couldnt fix furnitur move side drip area meant couldnt sit bed without hit head light ac even next day lie say fix call move furnitur back look see water vent push furnitur slept like rest stay without ac work properli talk everi singl manag get nowher wait two hour one morn day speak director oper accus lie would take custom word employe took day one room second room chang day first smell like rotten egg entir time mainten noth director oper wasnt will anyth,2019-07-27,Washington,0.4939,1
room date definit need upgrad housekeep alway great job keep clean provid toiletri towel stay found odd room didnt come coffe maker sure standard hotel there starbuck mcdonald across street well dunkin donut next block hotel gym pretti big come lot treadmil equip locat best thing hotel right across penn station msg short walk away maci empir state build,2019-07-27,Toronto,0.8807,1
nan,2019-07-27,Oregon,0.0,0
clean nice room nice pool thing like pay dollar day selfpark top resort fee,2019-07-26,"Fontana,ca",0.8807,1
hotel locat ideal first time visitor time squar empir state broadway walk distanc also subway around corner room small that understand new york hotel offer fairli small room charg facil fee everi night took surpris sinc book third parti compani awar,2019-07-26,Guadalajara,0.5267,1
great checkin staff help beauti lobbi,2019-07-25,Michigan,0.7783,1
like locat base purpos trip your disney seem excel locat stay one sunset wing appear older part hotel howev room nice clean pool nice poolsid bar call oasi ok look like could use upgrad drink price reason,2019-07-25,Maryland,0.9477,1
locat ideal acc mani event attract staff friendli help room quiet although bit small adequ amount time spent,2019-07-24,Princeton,0.8225,1
hotel conveni penn station time squar room adequ guest bathroom larg clean room small need staff pleasant alway avail direct help get cab need would definit recommend stay new york,2019-07-24,"Vinton, VA 24179",0.8807,1
great locat walk distanc disney spring,2019-07-24,Puerto Rico,0.6249,1
like closest hotel disney spring,2019-07-24,"Springfield, MA",0.3612,1
like locat facil next disney spring quick walk bridg told desk clerk return room late tire would call desk hind sight ask room servic come chang bed sheet upon enter sheet feel damp dri complet tire chang room wait servic,2019-07-24,"New Bedford, MA",0.3612,1
staff great properti except abl look like pictur internet,2019-07-23,Sparks nv,0.765,1
properti clean staff help park much especi almost day nice trip,2019-07-22,West Palm Beach,0.7859,1
great locat minut walk disney spring magic kingdom buse door pm round trip nice hotel beauti pool perfect locat disney,2019-07-22,"Rockland, MA",0.891,1
pool surround area actual quit nice gripe one member clean crew work middl hallway cart approach didnt move us look us squeez awkward unprofession,2019-07-22,Ann Arbor,0.5994,1
hotel outdat room incred tini even nyc standard room clean elev broke th floor floor turn sever corner go short hallway room felt unsaf singl woman dont want trap corner someon dont know happen would recommend stay,2019-07-21,"Washington, DC",0.4836,1
staff servic excel pool area nice lobbi bar small enjoy elev first floor excruciatingli slow room clean extrem small famili children must get second room doubl bed small two normal size adult pool snack bar great servic food actual pretti good,2019-07-21,"Oshawa, on",0.9565,1
hotel premis room clean use jacuzzi sunday even need servic,2019-07-20,Carlsbad,0.4019,1
bed bug bite bodi healthi allow,2019-07-20,Santa Ana Ca.,0.2263,1
ok small room clean power outag visit,2019-07-20,Chicago,0.5994,1
de lig middenin manhatten echt uitstekend servic vrinedelijkeheid faciliteiten zonderm teleurstellend,2019-07-19,Rotterdam,0.0,0
pool nice especi famili room ok littl date find lot american hotel standard countri lobbi area nice café expens small carton cereal recept slow awar make pay resortdisney tax upfront check,2019-07-19,Leeds UK,0.7506,1
nice room annoy flaw good room improv,2019-07-19,Fresh Meadows,0.4215,1
pool area great children love bunk bed,2019-07-18,Ocala,0.8519,1
great locat close everyth subway time squar shop tonn fun,2019-07-18,Burlington ON Canada,0.8126,1
room spaciou bed comfort air con work treat short walk shoppingdiningentertain disney spring bu theme park time,2019-07-18,"Porirua, NZ",0.6369,1
garden hotel section market appropri room outdat dark constantli feel moist day bath suit hang bathroom would dri pick hotel realiz stark differ stay garden section vd tower express book materi pool fine adult kid section get away constant massiv float rent splashingyellind children pool said close pm heard pm least screech kid pool garden section,2019-07-18,Northboro,0.2023,1
great clean place stay disney trip bit walk bad conveni starbuck walgreen nearbi comfi bed nice shower neg beep trash truck earli morn guess cant help,2019-07-18,"Henderson, NV",0.5916,1
fantast resort great staff plenti amen within close distanc lot restaur activ,2019-07-18,Toowoomba,0.6249,1
clean friendli staff room servic amaz,2019-07-17,Key west,0.4019,1
give late feel small room close penn station lot homeless outsid dark,2019-07-17,New Jersey,0.0,0
like hous keep rude non compliant nois one staff music play clean yell across hall non work relat convers loud walk open door tell tri sleep disbelief hous keep peopl properti issu found roach run around carpet took photo roach kill carpet room look dingi worn displeas stay point price way high wyndham wyndham hit time low truli felt like motel lower happi accommod truli displeas guess fault read review book,2019-07-17,Azusa,-0.7783,0
honestli best experi ive ever happi everyth staff truli nice kind definit come back recommend place everyon,2019-07-17,Vero Beach,0.9169,1
well maintain hotel close sjc airport load free park cheap rate secur,2019-07-16,Orlando,0.6597,1
shower crap room dirti old lift took long check took long good thing locat hotel,2019-07-16,Sydney,0.0772,0
朝食付きで予約したのですが伝わっていなかったようでちょっと苦労しましたエクスペディアのitenaryにも日本語表記だけしかなかったのでその点の工夫はお願いしたいです,2019-07-16,東京,0.0,0
pro easi checkin plenti park friendli staff good locat con thin wall hear peopl next door sketchi peopl stay nearbi room make nois go dirti pool,2019-07-16,San Diego,0.4404,1
clean hotel suit spaciou neg free park valet park per night steep option free park road imposs find breakfast pretti decent oatmeal waffl egg potato cereal bagelsbread room clean bed comfi dont forget toiletri bathroom amen provid shampoo condit bar soap staff respons,2019-07-16,"Toronto, ON",0.913,1
amaz great time staff excel cant wait go back next year,2019-07-16,NY,0.7964,1
lobbi look good properti wellkept room clean neat everyth expect room door could given facelift complaint room keycard work properli took us tri everi time tri open pleas look fix problem sure read one review problem mention overal enjoy stay,2019-07-15,Santa Ana,0.7579,1
locat hotel great rent car airport hotel within minut staff friendli profession pool hot tub great,2019-07-15,Salt Lake City,0.8481,1
excel stay new yorker return custom back room great beauti view great check problem encount black midtown ny everyon new yorker manag employe made us feel safe comfort happi chose hotel continu nyc hotel,2019-07-15,Brick NJ,0.9313,1
bien situé spacieux bell appar ascenseur fonctionn moyenn et air climatisé brisé dan tout le chambr pendant plu de heur il faisait dan notr chambr pour personn,2019-07-15,Québec,-0.128,0
tri defend cost park wasnt post receipt site pull page check extra day bull go busi shouldnt hidden charg site vice versa expedia noth hide thank must honor paper written didnt,2019-07-14,West Palm Beach,0.6124,1
extrem profession staff clean properti great amen food good hour differ restaurantscaf reason took free shuttl disney park great time would definit stay,2019-07-14,"Washington, DC",0.9524,1
cancel reserv inform us go expedia get refund,2019-07-14,Truckee,-0.25,0
beauti properti big love ammen staff profession friendli make feel comfort,2019-07-13,"Tamarac, Fl",0.7717,1
hotel one best deal find stay resort howev dont get fool recept share higher end wyndham lake buena vista wyndham garden date let say much love attent put soon check youll drag counter someon bribe restaur coupon actual tri sell membership club access sunset part resort take elev that probabl one slowest planet took us minut get elev go one floor dont luggag old dusti smell great yellowish set room probabl neighbor greet wall thin room howev clean bed comfort seriou lack power plug near bed thank ingeni setup macbook lot cabl abl charg devic night grab muffin cafe probabl three day ago day checkout your alreadi thank neighbor alarm clock expect waken staff knock ask expect leav pleas dont blame staff theyr follow manag instruct checkout experi your good go mumbl room feedback magic stay,2019-07-13,"Montreal, QC",0.978,1
woman checkin awesom friendli help,2019-07-12,NewSmyrnaBeach,0.4019,1
beauti properti wish bike bike trail like club wyndham told us minut present actual four hour ye four hour extrem frustrat disappoint product amaz would need four hour sell,2019-07-11,Minster,0.3612,1
staff friendli help exterior properti clean maintain interior properti includ room show age need level renov pool even green haze seem chlorin overal visit fine singl night stay,2019-07-11,Phoenix,0.7351,1
properti staff phenomen hotel flawless clean staff friendli help time complaint time share peopl say hour hour later hard time take answer,2019-07-10,Cary,0.8074,1
nice stay clean comfort room plenti thing,2019-07-10,Florida,0.7906,1
excel locat price friendli help staff,2019-07-10,Wash DC,0.6908,1
vip amen offer even inform none offer checkin,2019-07-10,Philadelphia,0.5106,1
noth didnt like overal experi great definit stay visit disneyland short easi walk park short walk restaur plenti choos room clean bed comfort spaciou good size fridg microwav use hot tub nice long day highli recommend,2019-07-10,"Clovis, CA",0.937,1
hotel nice clean staff profession extrem nice facil well kept definit stay,2019-07-09,New York,0.8555,1
staff friendli realli enjoy talk everyon super easi get question answer need met great hotel,2019-07-09,Kansas City,0.9042,1
maid servic maid excel hous keep servic also good secur desk staff howev could abrupt condescend,2019-07-09,Belfast,0.7096,1
stay sever time past six year like final stay locat excel five minut walk disney spring pool great section that wonder kid food pool although littl pricey pretti good park shuttl bed great howev last two time stay housekeep less ideal gave benefit doubt last time thought mayb housekeep everi time bad day happen trip tile floor clean stay two peopl long hair tub seem get clean rusti stain start appear drip howev think tri two day came back even tub plug water stand garden view trip time stuck back employe park miss view thought mayb would quieter sinc less peopl walk past etc car alarm night made hotel room wasnt show much wear tub definit need refinish sever peel spot recommend hotel mani peopl due previou experi howev trip disappoint small amount next time stay properti,2019-07-09,Illinois,0.9489,1
one cleanest hotel ive ever stay room look almost brand new didnt much staff interact morn front desk crew seem lot friendlier even crew,2019-07-09,CA,0.4588,1
third visit properti wherea said wouldnt come back due lack shade towel pool stay one night go use pool properti great staff alway friendli will help make tour ground past pool notic still ad umbrella shade like stay visit day unless umbrella situat resolv,2019-07-09,"Willoughby, OH",0.7906,1
excel facil soooo clean beauti love stay,2019-07-08,LA Ca,0.872,1
beauti properti kid friendli enjoy everi moment,2019-07-08,Atlanta Ga,0.4939,1
beauti properti great locat disney easi access major highway addit fee awar staff around properti pleasant interact,2019-07-08,NYC,0.8126,1
absolut love amen great atmospher restaur bar lobbi pool side area rent room balconi didnt calcul swim suit dri air condit room wish wouldv electr dryer site patron without balconi access lol,2019-07-08,Jacksonville,0.8647,1
overal nice resort trip surpris daughter th birthday would like give special thank deborah ali tesoro cove brought cupcak sang happi birthday realli love noth realli phase even surpris trip feel like shuttl bu univers studio resort well disney shuttl buse elimin costli expens park order room servic two night stay impress charg take account time food deliv check given bill room servic charg given option debit credit card would prefer charg ad alreadi expens bill mayb misunderstood thought book trip expedia everyth except resort fee paid check charg anoth refund prepar could budget littl better trip nevertheless taken care next trip plan littl better stay somewher littl less expens somewher provid transport place consid day didnt need fanci resort still think resort beauti staff friendli,2019-07-08,New York,0.9825,1
entrando la lobbi se bien limpio pero una vez entrando al cuarto está má chico de lo que aparenta en la foto lo cuarto huelen feo sobaco la carpeta está sucia en la tina encontramo do insecto,2019-07-08,Reno nv,0.0,0
great locat penn station madison squar garden tick tock diner italian restaur site good enjoy stay,2019-07-08,Scotland,0.8807,1
la habitación era pequeña pero estaba bien un frigobar podría estar bueno si es que uno desea tomar algo en cualquier momento,2019-07-08,Buenos Aires,0.0,0
second stay new yorker definit back stay see show garden locat realli cant beat town ace subway line liter around corner doesnt suit fanci penn station block catch number train staff alway friendli will help lobbi perfectli aircondit great summer day awar want check earli want buck bed comfi didnt hear nois hallwayneighbor room th floor think still consider nois street noth ear plug couldnt fix elev despit numer notori run slow room fridg microwav realli downsid honestli come town see show garden room rate reason stay youll love whole step hotel penn,2019-07-08,Los Angeles,0.875,1
somewhat tire clean great locat good valu,2019-07-08,"Flushing, mi",0.8465,1
si close park great bed window open total recommend,2019-07-08,Guadalajara,0.765,1
like fact that close intern drive howev room put opposit side idriv activ would suggest stay build closer idriv activ versu back wawa park lot,2019-07-08,"Jersey City, NJ",0.3612,1
stay night didnt clean make bed even give us new toiletri rain couldnt use pool cant review part need mainten build roof drip insid room hall stair,2019-07-08,Los angeles,-0.3089,0
amen perefect guest servic wonderful kind understand staff member wyndham grand bar area attitud also inclclud secur person ask direct wasnt sure answer give angeri someth talk anger mood famili bysid point wonder time,2019-07-07,Kissimmee fl,0.6639,1
locat great close lot attract subway entranc around corner,2019-07-07,Toronto,0.765,1
hotel beauti clean close disney spring walk everi night dinner lobbi alway smell amaz shuttl theme park alway time convien would definitley return hotel,2019-07-07,New Jersey,0.4019,1
short walk distanc disney spring clean environ,2019-07-07,"Plantation, FL",0.4019,1
excel servic friendli room ok expect someth accord rate entranc littl outdat,2019-07-07,"Plant City, FLORIDA",0.6369,1
room felt like motel seem date old,2019-07-07,Modesto,0.3612,1
pool area close earli cant common pool patio past pm later hour allow weekend day,2019-07-07,Lake Buena Vista,0.2263,1
sure ask corner room bigger breakfast good rang egg belgian waffl sausagehashbrown cereal oatmeal park bad isnt park lot find park surround street unless get valet park that ny gener,2019-07-07,"Browns mills, NJ",0.1779,0
book suit wyndham garden expedia prepar wed hotel ok far cleanli upon arriv warm welcom greet staff robot suit wasnt big describ bathroom mirror didnt light make difficult appli make iron board suit iron washcloth call front desk inquir hous keep miss item respons receiv well your go check soon dont need im big custom servic especi sinc expect great hospit sinc your stay inn hotel breakfast ok decent varieti food staff took away replenish breakfast station wouldnt go back,2019-07-07,NY,0.9233,1
like wasnt tall build mean two stori build across entir properti room seem littl outdat stay outsid room door didnt exit interior corridor room never got cold ac run constantli room great brought dog along easi walk exterior room also bathroom fan didnt work strang besid ac bathroom fan semi date room hotel nice sign lobbi tho check etc pool great gatorvil restaur go breakfast everyth alreadi prepar expens fit center tini suffici leg back workout wifi room horribl sometim phone wouldnt receiv servic either uber problem pick us drop hotel also near bunch restaur conveni,2019-07-07,"Jacksonville, FL",0.9383,1
stay room ladi took care room attent trust mean lot definit return,2019-07-07,"Dorado, PR",0.7579,1
enjoy outdoor space two nice pool one titl quiet one main gym look nice howev pretti pack normal gym time opt swim instead front desk staff awesom super help happi stay,2019-07-07,Ft. Myers,0.9371,1
room clean bed pillow confort ever tri call anyth quickli everyon friendli love place room servic amaz want go back properti staff amaz,2019-07-06,Boston,0.802,1
moment pull until time left amaz,2019-07-06,Sanit Louis Missouri,0.0,0
like fact properti great fit center modern equip,2019-07-06,"Jupiter, Fl",0.8442,1
good custom servic attent bed amaz comfort,2019-07-06,miami,0.6597,1
didnt mini fridg microwav bit small,2019-07-06,"Fayetteville,NC",0.0,0
love histor look locat staff great didnt like pay extra fridg luggag check room coffe room tini howev suppos thing keep price reason midtown manhattan locat great valu stay,2019-07-06,London Ontario,0.9116,1
hotel nice price high though charg park much,2019-07-06,Palm harbor fl,0.4215,1
good one valet park employe respect,2019-07-06,Nebraska,0.7184,1
locat ideal visit rel live nearbi,2019-07-06,"Lincoln, CA",0.5267,1
pleasedcleaneveryth went well hotel well go back whenev lo angel area,2019-07-06,Newark ca,0.4939,1
great locat disney spring terrif staff pool fun would go best bring four leg friend lb,2019-07-05,Punta Gorda,0.9413,1
great hotel great locat room clean quit son wonder time would like stay thank,2019-07-05,"Brantford,ON. CANADA>",0.9423,1
basic clean bed comfort,2019-07-05,"Richmond, VA",0.6369,1
arriv last saturday told checkin pm also group loud girl lobbi tad annoy ok went front desk room still readi first red flag anoth famili ahead us seem issu arriv noon went back line pm room wasnt readi point ask speak manag minut wait manger came front desk sudden room readi us went room wow mad continu bug room toilet wouldnt flush safe work hotel room look like dump didnt look like reserv call front desk speak manag switch room anoth one told two build hotel one request told could switch tower next day extra costth next day go epcot come back pick room key th floor tower fall asleep hour later keep hear loud girl hall slam door sing one point music went whole night place th floor girl area block next day breakfast ask night said terribl due nois teen even staff knew,2019-07-05,"Atlanta, GA",-0.6814,0
restaur close privat parti go eat take children bar,2019-07-05,Kansas City,0.0,0
pool amaz woukd better would one lazi river would design adult rule staff enforc realli arent rule kid jump dive pool lazi river parent dont watch kid housekeep lack littl room didnt get clean late everi afternoon,2019-07-04,Rhode Island,-0.1675,0
enough staff avail check took forev agent ask extra towel blanket never arriv pm mold bathroom servic overpr restaur horribl food margin pool area ground beauti fun kid,2019-07-04,"Jupiter, FL",0.5106,1
locat couldnt better close train walkabl lower east side soho littl itali well chinatown great access restaur shop realli nice peopl work hotel pullout sofa bed terribleour son end sleep floor said better terribl mattress also one drawer closet odd put cloth desk nightstand room small dresser suit seem like oversight mostli pleasant stay,2019-07-04,San Francisco,0.7571,1
main thing enjoy staff excel stacey jose accommod friendli,2019-07-04,"New York, New York",0.7351,1
old school build lot charact bathroom could use deep clean,2019-07-04,Atlanta,0.4019,1
hotel closest pedestrian cross walk disney spring stay perfect,2019-07-04,"Navarre, FL",0.5719,1
old dirti room wasnt clean bed never made stay worth money,2019-07-04,San Jose,-0.4449,0
